organization_key,offer_internal_name,volume_type,volume_type1,volume_creation_date,nb_volumes,storage_size
1ce3f8bb-89da-4b0b-9637-ee85e6ccfae2,DEV1-L,l_ssd,utility disk,2023-02-01 00:00,336,"25033,95081"
aa11169f-cf12-4653-838f-e268c4cc38f3,GP1-S,b_ssd,utility disk,2021-01-01 00:00,6,"18774,87257"
a9546cac-c302-4115-b3c0-d27aeb05b131,DEV1-M,l_ssd,utility disk,2023-02-01 00:00,499,"18589,19859"
a7ec9296-de32-44d3-9f95-611cd8ee8e20,GP1-XS,b_ssd,volume_storage,2021-06-01 00:00,14,18298
9077465d-319a-4af1-98ca-2f47205d2382,GP1-S,b_ssd,volume_storage,2022-10-01 00:00,16,17900
b6e054da-7d81-4d68-ba18-496971317eb5,GP1-M,b_ssd,volume_storage,2023-01-01 00:00,3,9000
0e5249bc-c22c-42a9-b30d-6105fc814d75,GP1-S,b_ssd,volume_storage,2023-01-01 00:00,41,8200
bc481840-25aa-4c6a-82cc-695f01937b7a,PRO2-M,b_ssd,utility disk,2022-09-01 00:00,31,"7556,498742"
e1c3f92c-3d01-4cde-ad8d-e7241c9353d5,DEV1-XL,b_ssd,volume_storage,2022-11-01 00:00,14,6224
669ccf6f-a131-4a99-b23a-677f7ca7fa04,GP1-XS,b_ssd,volume_storage,2022-08-01 00:00,6,6144
9077465d-319a-4af1-98ca-2f47205d2382,GP1-S,b_ssd,volume_storage,2022-06-01 00:00,9,6002
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,l_ssd,utility disk,2022-10-01 00:00,20,"5587,935448"
fdd31bb6-cfb9-4a8c-8650-6866002182af,GP1-XS,b_ssd,volume_storage,2022-02-01 00:00,10,5274
a24feb5c-9b79-4a39-b519-f9976e118e50,GP1-S,l_ssd,utility disk,2023-02-01 00:00,17,"4749,745131"
a24feb5c-9b79-4a39-b519-f9976e118e50,GP1-S,l_ssd,utility disk,2023-01-01 00:00,17,"4749,745131"
d577e30d-c02c-4fca-9c71-409d9c738f3e,GP1-XS,l_ssd,utility disk,2023-02-01 00:00,33,"4610,046744"
12e44c45-f787-4d6c-a425-70c445a5e95e,ENT1-XL,b_ssd,utility disk,2023-02-01 00:00,6,"4470,348358"
7b4f6a00-217c-464f-88da-84442bf53bb6,GP1-XS,b_ssd,volume_storage,2022-04-01 00:00,28,4400
e5a089dd-a226-4276-80c3-1b139d938b99,DEV1-XL,b_ssd,volume_storage,2022-04-01 00:00,14,4370
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,l_ssd,utility disk,2022-07-01 00:00,15,"4190,951586"
c3767703-34eb-4fb8-89cb-5dd80c551720,GP1-XS,b_ssd,volume_storage,2021-07-01 00:00,13,4190
aa11169f-cf12-4653-838f-e268c4cc38f3,GP1-S,b_ssd,utility disk,2020-12-01 00:00,13,"4139,011612"
bfeba32f-c7d3-4ef9-bfba-10b4dc2979a3,GP1-S,b_ssd,volume_storage,2022-10-01 00:00,4,4000
0e5249bc-c22c-42a9-b30d-6105fc814d75,GP1-S,b_ssd,volume_storage,2022-03-01 00:00,9,3831
0e2f62b6-a0bb-4b2e-a332-1a14a7f3b66e,GP1-M,b_ssd,volume_storage,2022-06-01 00:00,8,3800
52d2c49a-7a72-4b5d-aff3-2200f8e2600e,PRO2-S,b_ssd,volume_storage,2022-11-01 00:00,19,3670
d577e30d-c02c-4fca-9c71-409d9c738f3e,GP1-XS,l_ssd,utility disk,2022-07-01 00:00,25,"3492,459655"
f2efcc76-4b82-4084-b723-2db970058013,GP1-M,l_ssd,utility disk,2023-02-01 00:00,6,"3352,761269"
e18f3215-3c77-42b6-afbf-42b163fa6b3b,GP1-M,l_ssd,utility disk,2022-09-01 00:00,6,"3352,761269"
926fe225-7dfa-496a-9461-5600ce6dbcb2,GP1-M,l_ssd,utility disk,2023-01-01 00:00,6,"3352,761269"
926fe225-7dfa-496a-9461-5600ce6dbcb2,GP1-M,l_ssd,utility disk,2022-11-01 00:00,6,"3352,761269"
926fe225-7dfa-496a-9461-5600ce6dbcb2,GP1-M,l_ssd,utility disk,2022-12-01 00:00,6,"3352,761269"
0e5249bc-c22c-42a9-b30d-6105fc814d75,GP1-S,b_ssd,volume_storage,2022-08-01 00:00,26,3158
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,l_ssd,utility disk,2022-08-01 00:00,11,"3073,364496"
7b4f6a00-217c-464f-88da-84442bf53bb6,GP1-XS,l_ssd,utility disk,2023-02-01 00:00,22,"3073,364496"
ab14720d-70bf-4d04-9cef-8b8732919173,PRO2-XS,b_ssd,volume_storage,2023-02-01 00:00,9,3012
bfeba32f-c7d3-4ef9-bfba-10b4dc2979a3,PRO2-S,b_ssd,volume_storage,2022-08-01 00:00,3,3000
50958b0c-e54b-461e-be16-b1510a2f0d7a,GP1-S,l_ssd,utility disk,2023-01-01 00:00,10,"2793,967724"
6ab5340e-a8de-4ece-933e-b1f47c3a1efe,DEV1-XL,b_ssd,utility disk,2021-07-01 00:00,2,"2793,967724"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,l_ssd,utility disk,2022-09-01 00:00,10,"2793,967724"
26fecc3d-3288-43fd-a6b3-a1eaacc34c70,GP1-M,l_ssd,utility disk,2022-07-01 00:00,5,"2793,967724"
c59c56c4-79dc-4204-9f66-736877fad7e9,PRO2-M,b_ssd,volume_storage,2021-07-01 00:00,2,2548
7b4f6a00-217c-464f-88da-84442bf53bb6,GP1-XS,l_ssd,utility disk,2022-03-01 00:00,18,"2514,570951"
8658f5bb-04b0-41b9-a8de-533025d4e2c7,GP1-XS,l_ssd,utility disk,2022-07-01 00:00,18,"2514,570951"
0e2f62b6-a0bb-4b2e-a332-1a14a7f3b66e,GP1-L,l_ssd,utility disk,2023-02-01 00:00,4,"2235,174179"
b492f8f9-b186-498e-8129-a6c70282be4d,GP1-M,l_ssd,utility disk,2022-07-01 00:00,4,"2235,174179"
f2efcc76-4b82-4084-b723-2db970058013,GP1-M,l_ssd,utility disk,2022-10-01 00:00,4,"2235,174179"
107d677a-cc28-44be-98ed-5baaeb808eab,DEV1-L,b_ssd,volume_storage,2023-01-01 00:00,5,2208
fdf934a5-274e-46b0-9296-124fd5a291d4,DEV1-L,b_ssd,volume_storage,2021-10-01 00:00,19,2202
e41591d7-276f-445c-848b-f018e8ae49b2,GP1-XS,b_ssd,volume_storage,2022-04-01 00:00,11,2152
7b4f6a00-217c-464f-88da-84442bf53bb6,GP1-XS,l_ssd,utility disk,2022-11-01 00:00,15,"2095,475793"
0e5249bc-c22c-42a9-b30d-6105fc814d75,GP1-S,b_ssd,volume_storage,2022-05-01 00:00,37,2092
7b4f6a00-217c-464f-88da-84442bf53bb6,DEV1-L,l_ssd,utility disk,2022-11-01 00:00,28,"2086,162567"
fa44cbef-d1c4-43cf-b4ab-8e099a685d1b,GP1-S,b_ssd,volume_storage,2023-01-01 00:00,2,2058
fa44cbef-d1c4-43cf-b4ab-8e099a685d1b,GP1-S,b_ssd,volume_storage,2022-12-01 00:00,1,2048
c59c56c4-79dc-4204-9f66-736877fad7e9,GP1-XS,b_ssd,volume_storage,2021-09-01 00:00,4,2048
c59c56c4-79dc-4204-9f66-736877fad7e9,PRO2-M,b_ssd,volume_storage,2022-01-01 00:00,1,2048
c59c56c4-79dc-4204-9f66-736877fad7e9,PRO2-M,b_ssd,volume_storage,2022-06-01 00:00,1,2048
8690304a-bf31-465d-b11e-bb6d70f5d8c0,GP1-M,b_ssd,volume_storage,2022-01-01 00:00,4,2024
107d677a-cc28-44be-98ed-5baaeb808eab,GP1-M,b_ssd,volume_storage,2022-09-01 00:00,3,2020
e5a089dd-a226-4276-80c3-1b139d938b99,DEV1-XL,b_ssd,volume_storage,2022-03-01 00:00,5,2010
